Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.468305,0.407638,0.268780,0.576852,0.596793,
0.458848,0.404588,0.257894,0.577316,0.596755,
0.458848,0.404588,0.257894,0.577316,0.596755,
0.454059,0.403570,0.260778,0.576476,0.595611,
0.454059,0.403570,0.260778,0.576476,0.595611,
0.451610,0.403616,0.269680,0.565591,0.592350,
0.451610,0.403616,0.269680,0.565591,0.592350,
0.449359,0.403216,0.269827,0.576098,0.591065,
0.449359,0.403216,0.269827,0.576098,0.591065,
HUG START
0.448036,0.402761,0.268487,0.575832,0.590395,
0.448036,0.402761,0.268487,0.575832,0.590395,
0.447260,0.402820,0.277580,0.561420,0.589385,
0.447260,0.402820,0.277580,0.561420,0.589385,
0.445546,0.403776,0.280413,0.571038,0.587353,
0.445546,0.403776,0.280413,0.571038,0.587353,
0.439588,0.423062,0.280738,0.565214,0.586738,
0.439588,0.423062,0.280738,0.565214,0.586738,
0.439309,0.412304,0.279888,0.552584,0.586965,
0.439309,0.412304,0.279888,0.552584,0.586965,
0.438613,0.411198,0.314961,0.560089,0.585252,
0.438613,0.411198,0.314961,0.560089,0.585252,
0.438107,0.409702,0.433682,0.556020,0.584412,
0.438107,0.409702,0.433682,0.556020,0.584412,
0.437714,0.407318,0.444034,0.556350,0.581670,
0.437714,0.407318,0.444034,0.556350,0.581670,
0.437461,0.405788,0.444371,0.546161,0.580949,
0.437461,0.405788,0.444371,0.546161,0.580949,
0.436706,0.404783,0.444489,0.560446,0.579588,
0.436706,0.404783,0.444489,0.560446,0.579588,
0.436378,0.404215,0.445632,0.543486,0.578523,
0.436378,0.404215,0.445632,0.543486,0.578523,
0.436027,0.403758,0.441220,0.553397,0.579174,
0.436027,0.403758,0.441220,0.553397,0.579174,
0.437446,0.403369,0.445534,0.548011,0.583529,
0.437446,0.403369,0.445534,0.548011,0.583529,
0.436350,0.410421,0.436577,0.563350,0.581346,
0.436350,0.410421,0.436577,0.563350,0.581346,
0.438151,0.408505,0.455653,0.563009,0.590637,
0.438151,0.408505,0.455653,0.563009,0.590637,
0.435897,0.404115,0.430573,0.543940,0.586055,
0.435897,0.404115,0.430573,0.543940,0.586055,
0.435905,0.403888,0.447386,0.562003,0.585832,
0.435905,0.403888,0.447386,0.562003,0.585832,
0.439302,0.404932,0.443678,0.563091,0.584782,
0.439302,0.404932,0.443678,0.563091,0.584782,
0.441632,0.406274,0.453827,0.562776,0.586008,
0.441632,0.406274,0.453827,0.562776,0.586008,
0.441171,0.405476,0.451076,0.564984,0.574266,
0.441171,0.405476,0.451076,0.564984,0.574266,
0.441478,0.405615,0.452372,0.539615,0.573886,
0.441478,0.405615,0.452372,0.539615,0.573886,
